,show name,rating,votes
0,Asur: Welcome to Your Dark Side,  8.7 ,"
Votes:
8,915
"
1,Special OPS,  8.8 ,"
Votes:
5,086
"
2,She,  6.7 ,"
Votes:
1,063
"
3,Mirzapur,  8.5 ,"
Votes:
22,642
"
4,Sacred Games,  8.8 ,"
Votes:
64,783
"
5,The Family Man,  8.6 ,"
Votes:
16,354
"
6,Marzi,  8.0 ,"
Votes:
899
"
7,Criminal Justice,  8.1 ,"
Votes:
4,419
"
8,Jamtara: Sabka Number Ayega,  7.5 ,"
Votes:
2,559
"
9,Gandii Baat,  3.6 ,"
Votes:
2,021
"
10,Delhi Crime,  8.5 ,"
Votes:
8,041
"
11,Inside Edge,  8.0 ,"
Votes:
6,406
"
12,Bard of Blood,  7.2 ,"
Votes:
7,196
"
13,Breathe,  8.4 ,"
Votes:
9,778
"
14,Code M,  8.4 ,"
Votes:
1,904
"
15,Made in Heaven,  8.3 ,"
Votes:
6,182
"
16,Rangbaaz,  8.6 ,"
Votes:
3,346
"
17,Kota Factory,  9.2 ,"
Votes:
17,548
"
18,Mentalhood,  8.7 ,"
Votes:
1,814
"
19,Taj Mahal 1989,  7.6 ,"
Votes:
696
"
20,Pushpavalli,  7.4 ,"
Votes:
998
"
21,Four More Shots Please,  5.2 ,"
Votes:
3,368
"
22,Ramayan,  9.2 ,"
Votes:
4,378
"
23,Yeh Meri Family,  9.2 ,"
Votes:
16,853
"
24,Little Things,  8.3 ,"
Votes:
3,261
"
25,Permanent Roommates,  8.6 ,"
Votes:
20,158
"
26,Broken But Beautiful,  9.1 ,"
Votes:
2,322
"
27,Never Kiss Your Best Friend,  8.7 ,"
Votes:
555
"
28,Hostages,  6.9 ,"
Votes:
2,209
"
29,The Office,  6.6 ,"
Votes:
3,113
"
30,Mayanagari - City of Dreams,  7.6 ,"
Votes:
875
"
31,Apharan,  8.4 ,"
Votes:
6,065
"
32,Iss Pyaar Ko Kya Naam Doon,  7.5 ,"
Votes:
2,331
"
33,Mahabharat,  8.9 ,"
Votes:
8,015
"
34,Abhay,  7.9 ,"
Votes:
477
"
35,Class of 2020,  8.6 ,"
Votes:
1,603
"
36,Flames,  9.3 ,"
Votes:
16,651
"
37,Typewriter,  6.5 ,"
Votes:
2,857
"
38,Out of Love,  7.2 ,"
Votes:
363
"
39,24,  8.2 ,"
Votes:
2,505
"
40,The Final Call,  7.4 ,"
Votes:
856
"
41,The Test Case,  8.6 ,"
Votes:
913
"
42,Khul Ja Sim Sim: Ullu Series,  6.4 ,"
Votes:
22
"
43,Kaafir,  8.4 ,"
Votes:
541
"
44,Bose: Dead/Alive,  9.1 ,"
Votes:
4,714
"
45,Laakhon Mein Ek,  8.3 ,"
Votes:
2,834
"
46,Gullak,  9.2 ,"
Votes:
1,198
"
47,Ragini MMS Returns,  4.2 ,"
Votes:
722
"
48,Leila,  4.6 ,"
Votes:
6,870
"
49,The Kapil Sharma Show,  8.0 ,"
Votes:
3,183
"
